smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
CC(C)(C)c1ccc(CCCc2cc(CCCC(N)=O)ccn2)cc1,-9.933,-6.5721,3.3609,-0.53,xtb_success
COc1ccc(C(=O)N2CCC(C(=O)Nc3sc4c(c3C(C)=O)CCC4)CC2)cc1,-10.0634,-7.8032,2.2602,-0.543,xtb_success
NC(=O)CN(CCc1ccc(CC2CCCCC2)cc1)C1CCCCC1,-9.6026,-5.8964,3.7061,-0.541,xtb_success
Cc1ccc(N(CCC(C)(C)C)Cc2ccc(CC(N)=O)cc2)cc1,-9.1636,-6.2032,2.9604,-0.533,xtb_success
NC(=O)Cc1ccc(-c2ccc(-c3cc(C=O)ccn3)cc2)cc1,-10.3249,-8.5475,1.7774,-0.536,xtb_success
CC[C@H]([NH3+])c1ccc(-c2cccc(C(=O)N3CCC[C@H](C)C3)c2)cc1,-6.4805,-6.1884,0.2922,-0.65,xtb_success
COC(=O)c1cccc(CN2CCN(CC3CCCCC3)CC2)c1,-9.2666,-7.5772,1.6894,-0.494,xtb_success
COCc1ccc(Cc2ccccn2)cc1C(=O)N1CCCCC1,-10.059,-6.7418,3.3172,-0.552,xtb_success
NC(=O)Cc1ccc(Cc2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,-10.2365,-6.6417,3.5949,-0.534,xtb_success
NC(=O)Cc1ccc(CCCCc2ccc(CC(N)=O)cc2)cc1,-10.4145,-6.0924,4.3222,-0.535,xtb_success
NC(=O)CCc1ccc(Cc2ccc(CCC(N)=O)cc2)cc1,-10.3931,-6.0905,4.3025,-0.538,xtb_success
COCCc1cccc(Cc2cccc(OC)c2OC)c1OC,-10.0644,-6.1234,3.941,-0.354,xtb_success
O=C(Cc1ccc(-c2cncnc2)cc1)N1CCC2(CCCCC2)C1,-10.1807,-7.4727,2.7079,-0.552,xtb_success
Cc1ccc(C(=O)NC(=O)CCC(=O)N2CCC[C@H]3CCC[C@@H]32)cc1,-10.7328,-7.6529,3.0799,-0.527,xtb_success
CCCS(=O)(=O)C(=O)c1cccc(CN(C)C(=O)c2ccc(C)cc2)c1,-10.6313,-8.941,1.6903,-0.629,xtb_success
COCc1cc(Cc2ccc(OC)c(OC)c2)ccc1OC,-9.8673,-5.9779,3.8893,-0.343,xtb_success
COCc1ccc(Cc2ccc(Cc3cc(OC)ccn3)cc2)cc1,-10.0806,-6.4429,3.6377,-0.351,xtb_success
COc1ccc(CCN(C)Cc2cc3c([nH]c2=O)CCCC3=O)cc1,-9.6195,-7.6526,1.9669,-0.54,xtb_success
CC(C)(C)CCc1ccc(/C=C\c2cc(CC(N)=O)ccn2)cc1,-10.0462,-7.24,2.8062,-0.523,xtb_success
COc1ccc(CN(CC(F)(F)F)c2cccc(OC)c2O)cc1OC,-9.726,-5.998,3.728,-0.448,xtb_success
NC(=O)Cc1ccc(-c2ccc(N3C(=O)CC4(CCCCC4)C3=O)cc2)cc1,-10.4227,-7.4711,2.9516,-0.532,xtb_success
COCc1ccc(C(=O)N2CCC[C@H](N(C)Cc3ccccc3C)C2)cc1,-9.586,-6.4986,3.0874,-0.545,xtb_success
COCCc1ccccc1CN1CCN(C(=O)C(C)(C)OC)CC1,-9.5928,-6.0339,3.5589,-0.539,xtb_success
NC(=O)CCc1ccc(CCc2ccc(CC(N)=O)cc2)cc1,-10.298,-6.021,4.2769,-0.544,xtb_success
COCCc1ccccc1CCc1ccccc1C(=O)N(C)C,-10.56,-6.2235,4.3365,-0.546,xtb_success
O=C(OCN1CCN(C2CCCCC2)CC1)c1cccc(Cc2ccccc2)c1,-9.405,-7.5975,1.8075,-0.488,xtb_success
CCc1ccc(Cc2cc(OC(=O)COCC(N)=O)ccn2)cc1,-10.3315,-7.3299,3.0015,-0.52,xtb_success
COc1cc(C(=O)N(CC(N)=O)c2ccc(F)c(F)c2)ccn1,-10.5685,-7.723,2.8455,-0.514,xtb_success
COc1cc(Cc2ccccn2)ccc1CCCc1ccccn1,-9.899,-6.7275,3.1715,-0.296,xtb_success
CCN(CCc1ccccc1)S(=O)(=O)Cc1ccc(F)cc1,-10.5585,-6.7499,3.8086,-0.645,xtb_success
COc1cccc(NC(=O)N2C[C@H](OC3CCCCC3)O[C@@H](C)C2)c1,-10.0666,-6.211,3.8556,-0.547,xtb_success
COCc1ccc(Cc2ccc(CCC(=O)C(C)(C)OC)cc2)cc1,-10.372,-7.2105,3.1615,-0.412,xtb_success
CC(=O)c1ccc(Cc2ccc(OCC(=O)N3CCN(CC(N)=O)CC3)cc2)cc1,-10.0554,-7.6802,2.3752,-0.541,xtb_success
NC(=O)CCCc1ccc(Cc2cc(CC(N)=O)ccn2)cc1,-10.055,-6.7592,3.2958,-0.534,xtb_success
NC(=O)CCCc1ccc(CCCc2ccc(C=O)cc2)cc1,-10.4174,-8.0112,2.4062,-0.533,xtb_success
O=C(c1ccc(N2CCN(C(=O)NCc3ccccc3)CC2)nc1)c1ccccc1F,-9.9682,-7.9294,2.0389,-0.578,xtb_success
NC(=O)CCc1ccc(-c2ccc(Cc3cc(CC(N)=O)ccn3)cc2)cc1,-10.0325,-6.767,3.2655,-0.532,xtb_success
COCc1ccc(COC)c(-c2cccc(COC)c2OC)c1,-10.4102,-6.4831,3.9271,-0.349,xtb_success
CC(C)(C)c1ccc(-c2cc(Cc3cc(CC(N)=O)ccn3)ccn2)cc1,-9.9394,-7.0049,2.9346,-0.529,xtb_success
COCc1ccc(Cc2ccc(OC)cc2)cc1-c1ccccn1,-10.0153,-7.0079,3.0074,-0.345,xtb_success
COCc1cc(Cc2ccc(OC)cc2)cc(CC(OC)OC)c1,-10.1596,-6.1295,4.03,-0.36,xtb_success
NC(=O)Cc1csc(-c2ccc(-c3ccc(C=O)cc3)cc2)n1,-10.4428,-8.2214,2.2214,-0.534,xtb_success
CCc1ccc(Cc2ccc(C(=O)C3CCN(C(=O)[O-])CC3)o2)cc1,-10.7402,-8.1913,2.549,-0.583,xtb_success
NC(=O)Cc1ccc(-c2ccc(-c3nc(CC(N)=O)cs3)cc2)cc1,-10.2831,-7.7286,2.5545,-0.534,xtb_success
N#Cc1ccc(Cc2ccc(C(=O)COCC(N)=O)cc2)cc1,-10.6305,-8.0634,2.5671,-0.542,xtb_success
COc1ccc(CC(=O)c2ccc(-c3ccc(F)c(F)c3)nc2)cc1,-10.3043,-8.3141,1.9902,-0.431,xtb_success
CCN(C1CCOCC1)C1CN(CCc2ccccc2Cl)C1,-9.5481,-6.236,3.3122,-0.351,xtb_success
Cc1nnc(S(=O)(=O)c2ccc(NC(=O)C(C)C)cc2)s1,-10.959,-8.212,2.747,-0.635,xtb_success
CCCc1ccc(-c2ccc(CC(N)=O)cc2CC(N)=O)cc1,-10.3175,-6.4575,3.8601,-0.534,xtb_success
CC(C)(C)c1ccc(-c2cc(Cc3nc(CC(N)=O)cs3)ccn2)cc1,-10.0309,-7.2861,2.7448,-0.533,xtb_success
CS(=O)(=O)CCc1csc(-c2ccc(CCC(N)=O)cc2)n1,-10.3493,-7.5749,2.7744,-0.659,xtb_success
CCc1ccc([C@@H]2CCS(=O)(=O)C2)cc1-c1ccc(F)c(F)c1,-10.727,-6.9274,3.7996,-0.646,xtb_success
Cc1cccc(Cl)c1NC(=O)N1CCCN(C2CCSCC2)CC1,-9.5557,-6.3476,3.2081,-0.56,xtb_success
NC(=O)Cc1ccc(-c2ccc(Cc3cc(CC(N)=O)ccn3)cc2)cc1,-10.0519,-6.7912,3.2607,-0.533,xtb_success
CN(C)C(=O)c1cccc(-c2ccc(N)cc2Br)c1N,-9.7503,-6.5441,3.2062,-0.564,xtb_success
CCCc1ccc(-c2ccc(CC[C@](C)(O)C(=O)[O-])cc2)cc1,-9.6603,-6.5053,3.155,-0.415,xtb_success
CCCc1ccc(-c2ccc(F)c(F)c2)cc1[C@@H]1CCS(=O)(=O)C1,-10.6456,-7.1455,3.5001,-0.647,xtb_success
CCC(C)(C)c1ccc(C(=O)NC(=O)N(C)N2CCO[C@H](C)C2)cc1,-10.3577,-7.4405,2.9172,-0.517,xtb_success
COCc1cc(Cc2cc(Cc3cccc(C)c3)ccn2)ccn1,-10.0827,-6.8648,3.2179,-0.341,xtb_success
NC(=O)Cc1ccc(-c2ccc(Cc3nc(CC(N)=O)cs3)cc2)cc1,-10.3232,-7.12,3.2032,-0.537,xtb_success
COCc1ccc(Cc2ccc(C(=O)N3CCN(C(=O)c4ccccc4C)CC3)cc2)cc1,-10.5749,-6.6625,3.9124,-0.535,xtb_success
NC(=O)CCc1ccc(CCc2nc(CC(N)=O)cs2)cc1,-10.4532,-7.1074,3.3458,-0.537,xtb_success
CCc1ccc(C(=O)N2CCN([C@H](C)CC(=O)Nc3cccc(C)c3)CC2)cc1C,-9.657,-6.5398,3.1172,-0.55,xtb_success
COc1ccc(CC(=O)c2ccc(C(=O)NC[C@@H](C)N3CCOCC3)cc2)cc1,-9.8735,-7.9977,1.8758,-0.527,xtb_success
COCc1cccc(Cc2ccc(C3CC[NH+](C)CC3)cc2)c1,-5.3817,-5.0388,0.3429,-0.365,xtb_success
CCCCc1ccc(CCc2nc(CC(N)=O)cs2)cc1,-10.4229,-7.1076,3.3153,-0.537,xtb_success
Cc1ccc(C(=O)N[C@H]2CCN(C)C2=O)cc1-c1cncnc1,-10.1927,-7.4935,2.6992,-0.531,xtb_success
CCCN(Cc1ccc(OC)cc1)C(=O)N1CCN(c2ccccc2)CC1,-9.2723,-6.0998,3.1725,-0.56,xtb_success
COCc1ccc(Cc2ccc(-c3ccccn3)cc2OC)cc1,-10.0211,-7.0914,2.9297,-0.352,xtb_success
COCCN(COC)Cc1ccc(Cc2ccc(COC)cc2)cc1,-9.7468,-6.1389,3.6078,-0.352,xtb_success
O=COc1ccc(OCc2ccc(Cc3ccccn3)cc2)c(F)c1,-10.0023,-7.4127,2.5896,-0.433,xtb_success
NC(=O)Cc1ccnc(-c2ccnc(-c3ccc(C=O)cc3)c2)c1,-10.1406,-8.1965,1.9441,-0.528,xtb_success
NC(=O)Cc1ccc(Cc2ccc(-c3nc(CC(N)=O)cs3)cc2)cc1,-10.3495,-7.6313,2.7182,-0.534,xtb_success
NC(=O)Cc1ccc(Cc2ccc(-c3cc(CC(N)=O)ccn3)cc2)cc1,-10.0323,-7.0652,2.9671,-0.534,xtb_success
COCc1ccc(Cc2ccc(CC[C@H]3CCOC3)cc2)cc1,-10.4202,-6.1436,4.2766,-0.373,xtb_success
Cn1nccc1COc1c(Cl)cc(CC(N)=O)cc1Cl,-10.7236,-6.9807,3.7429,-0.522,xtb_success
NC(=O)CCc1ccc(Cc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,-10.3051,-6.1593,4.1458,-0.535,xtb_success
COCc1ccc(Cc2ccc(C(=O)c3ccccn3)cc2)cc1,-10.246,-8.2045,2.0415,-0.449,xtb_success
CCc1c(-c2[nH]cc(C)c(=O)c2C)cccc1S(=O)(=O)C(C)C,-10.0581,-7.1486,2.9095,-0.641,xtb_success
NC(=O)CCCc1ccc(Cc2nc(CC(N)=O)cs2)cc1,-10.511,-7.106,3.405,-0.537,xtb_success
O=C([O-])c1ccccc1Cc1ccc(CC(=O)C2CCCCC2)cc1,-10.6068,-7.3206,3.2861,-0.491,xtb_success
COCc1ccc(Cc2ccc(C(=O)N3CCN([N+]4=CCCC4)CC3)cc2)cc1,-7.1228,-6.6013,0.5215,-0.543,xtb_success
COc1ccc(CC(=O)N2CCN(CCc3nc(C4CCCCC4)cs3)CC2)cc1,-9.5569,-6.945,2.6119,-0.54,xtb_success
CC(=O)C1(NCN2CCN(C(=O)OC(C)C)CC2)CCCCC1,-9.7527,-7.0473,2.7053,-0.572,xtb_success
CCCS(=O)(=O)C(=O)N(C)C(=O)c1cccc(Cc2ccc(C)cc2)c1,-10.4998,-8.4584,2.0415,-0.634,xtb_success
CCCc1ccc([C@@H]2CCS(=O)(=O)C2)cc1-c1ccncc1,-10.0747,-6.9117,3.163,-0.645,xtb_success
CC(C)(C)c1ccc(CCCc2nc(CC(N)=O)cs2)cc1,-10.3598,-7.0555,3.3043,-0.536,xtb_success
COc1ccc(Cc2cc(C(=O)Cc3ccc(CC(N)=O)cc3)ccn2)cc1,-10.1429,-8.1303,2.0126,-0.533,xtb_success
NC(=O)Cc1ccc(CCCc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,-10.3085,-6.1429,4.1656,-0.535,xtb_success
NC(=O)CCc1ccc(-c2ccc(CC(N)=O)cc2)cc1CC(N)=O,-10.2622,-6.6413,3.6209,-0.551,xtb_success
COCc1ccc(Cc2ccc(OC)c(OC)c2)c(OC)c1,-9.8694,-6.1315,3.7379,-0.349,xtb_success
CCCCc1ccc(-c2cc(COCC(N)=O)ccn2)cc1,-10.0732,-7.1148,2.9584,-0.532,xtb_success
COCc1ccc(Cc2ccc(OC)c(F)c2)cc1N1CC[NH+](C)CC1,-5.5739,-5.3115,0.2624,-0.368,xtb_success
Cc1cccc(CN(c2ccc(F)c(F)c2)C2CN([NH+](C)C)C2)c1,-5.7886,-5.5718,0.2168,-0.325,xtb_success
COCc1ccc(Cc2ccc(Cc3nc(OC)cs3)cc2)cc1,-10.2836,-7.1126,3.171,-0.352,xtb_success
COCc1ccc(Cc2ccc(OC)c(OC)c2)cc1-c1ccccn1,-9.9216,-6.9837,2.9379,-0.345,xtb_success
COCc1ccc(Cc2ccc(Cc3ccccn3)cc2)cc1,-10.0006,-6.6977,3.303,-0.352,xtb_success
COc1ccc(CN(CCc2nccn2C)CC(F)(F)F)cc1,-10.0043,-6.0984,3.906,-0.337,xtb_success
CCc1ccc(Cc2cc(CC(N)=O)ccn2)cc1-c1ccccn1,-10.0155,-6.8157,3.1997,-0.529,xtb_success
O=C(c1ccc([C@@H]2CCS(=O)(=O)C2)cc1)c1ccc(F)c(F)c1,-11.0987,-8.3215,2.7772,-0.645,xtb_success
CCc1ccc(Cc2ccccn2)cc1CCc1ccc(CC(N)=O)cc1,-9.9867,-6.687,3.2997,-0.536,xtb_success
NC(=O)Cc1cc(Cc2cc(C=O)ccn2)ccc1-c1ccccn1,-10.3168,-8.457,1.8598,-0.549,xtb_success
CC1CCC(NC(=O)N(C)C(=O)Oc2cccc3[nH]ccc23)CC1,-10.1448,-6.7771,3.3677,-0.52,xtb_success
O=C([O-])c1ccc(Cc2ccc(CC(=O)C3CCCCC3)cc2)cc1,-10.6127,-7.4416,3.1712,-0.501,xtb_success
COCc1ccc(Cc2ccc(OC)cc2)c(C2CC[NH+](C)CC2)c1,-5.2098,-5.1321,0.0777,-0.35,xtb_success
COC(=O)c1ccc(Cc2nc(C[C@@H]3CCCN(C(=O)OC)C3)cs2)cc1,-10.5105,-7.6061,2.9043,-0.567,xtb_success
CCCc1cc(-c2ccc(CC(N)=O)cc2CC(N)=O)ccn1,-9.9408,-6.7409,3.1999,-0.531,xtb_success
CCCc1ccc(CN(OC)C(=O)c2ccc(OC)cc2)cc1,-10.5225,-6.9131,3.6095,-0.526,xtb_success
CCS(=O)(=O)[C@H](C)C(=O)Nc1ccc(Cc2ccon2)cc1,-10.5766,-7.0588,3.5179,-0.631,xtb_success
CCCc1c(Cc2ccc(OC)c(OC)c2)cccc1OC,-10.1347,-6.1983,3.9364,-0.342,xtb_success
COc1ccc(Cc2cc(C(CC(N)=O)CC(N)=O)ccn2)cc1F,-10.0466,-6.7651,3.2815,-0.534,xtb_success
NC(=O)CCc1ccc(Cc2ccc(CCc3ccc(CC(N)=O)cc3)cc2)cc1,-10.2927,-6.1759,4.1169,-0.534,xtb_success
CCN(c1ccc(C)cc1)c1nc(CCS(C)(=O)=O)cs1,-9.7178,-6.5966,3.1211,-0.653,xtb_success
COCc1ccc(Cc2ccc(CCC3CC[NH+](OC)CC3)cc2)cc1,-5.3745,-4.9859,0.3885,-0.381,xtb_success
COc1ccc(CNC(=O)[C@H]2CCCN(C(=O)N3CCN(C(=O)c4ccccc4C)CC3)C2)cc1,-10.1398,-6.2227,3.9171,-0.58,xtb_success
O=C([O-])c1ccccc1-c1ccc(CCC(=O)C2CCCCC2)cc1,-10.6217,-7.2373,3.3844,-0.484,xtb_success
COc1cc(C(C)C)c(N2CCN(C(=O)[C@@H]3CCCc4ccccc43)CC2)cn1,-9.6787,-6.7259,2.9527,-0.535,xtb_success
CC(C)(C)c1cc(CC[C@H](N)Cc2cccnc2Cl)ccn1,-9.7938,-7.1225,2.6713,-0.377,xtb_success
COCc1cc(Cc2cc(Cc3ccc(OC)cc3)ccn2)ccn1,-10.0678,-6.8745,3.1933,-0.344,xtb_success
Cc1ccc(/C=C\c2ccc(/C=C\c3c[nH]c(=O)[nH]c3=O)cc2)cc1F,-10.1262,-7.6044,2.5218,-0.513,xtb_success
COCc1ccc(CN2CCN(C(=O)c3c(C)n[nH]c3N(C)C3CCCCC3)CC2)cc1,-9.4568,-6.0697,3.387,-0.565,xtb_success
NC(=O)Cc1ccc(-c2ccc(CC(N)=O)cc2CC(N)=O)cc1,-10.3496,-6.2187,4.1309,-0.535,xtb_success
COCc1cccc(Cc2cccc(OC)c2COC)c1OC,-10.2888,-6.2366,4.0523,-0.35,xtb_success
COCCCc1ccccc1Cc1ccccc1C(=O)N(C)C,-10.5449,-6.4567,4.0881,-0.546,xtb_success
COc1ccc(CC(=O)N(C)C2CC[NH+](c3ccccc3)CC2)cc1,-6.6512,-5.8845,0.7667,-0.477,xtb_success
NC(=O)Cc1ccc(/C=C\C=C/c2cc(CC(N)=O)ccn2)cc1,-10.0035,-7.5251,2.4784,-0.533,xtb_success
Cc1cccc(Cl)c1NC(=O)N1CCCN(CC2CC[NH+](C)CC2)CC1,-8.6445,-5.9731,2.6714,-0.99,xtb_success
CN(C)C(=O)CCOc1cc(-c2cc(F)c(F)c(F)c2)nn1C,-10.4815,-7.4909,2.9906,-0.553,xtb_success
CC(=O)N1CCCN(CC(=O)Nc2cccc(C)c2)[C@@H]1c1ccccc1C#N,-10.2464,-7.5904,2.656,-0.542,xtb_success
COCc1ccc(-c2cc(CCc3ccc(CC(N)=O)o3)ccn2)cc1,-10.0496,-7.1219,2.9277,-0.52,xtb_success
COCc1ccc(Cc2cccc(OC)c2OC)cc1OC,-10.1068,-6.097,4.0098,-0.345,xtb_success
CC(C)(C)Cc1ccc(Cc2cc(CC(N)=O)ccn2)cc1CC(N)=O,-10.0713,-6.7982,3.2731,-0.531,xtb_success
C[NH+]1CCC(CC(=O)N2CCN(CCC3CCCCC3)CC2)CC1,-4.9035,-1.6227,3.2807,-0.775,xtb_success
COCc1ccc(Cc2ccc(-c3cc(C=O)ccn3)cc2F)cc1,-10.4187,-8.591,1.8277,-0.382,xtb_success
COc1ccc(CC(=O)N2CCN(C(=O)Nc3ccc(N4CCN(c5ccccc5)CC4)cc3)CC2)cc1,-9.2131,-6.0234,3.1897,-0.567,xtb_success
NC(=O)Cc1ccc(Cc2ccc(Cc3cc(CC(N)=O)ccn3)cc2)cc1,-10.0451,-6.7537,3.2914,-0.534,xtb_success
C#CCc1ccnc(-c2ccnc(-c3ccnc(CC(N)=O)c3)c2)c1,-10.177,-7.7161,2.4609,-0.538,xtb_success
CCCc1ccc(-c2ccc(CCC[C@](C)(O)C(=O)[O-])cc2)cc1,-9.6363,-6.5001,3.1362,-0.416,xtb_success
COc1nccc(C(=O)N2C[C@H](Nc3cc(F)ccc3F)C[C@H]2C)c1OC,-10.1509,-7.1171,3.0338,-0.536,xtb_success
CC(=O)N1CC[C@H](C(=O)NCc2ccc(OC(C)C)cc2)C1,-10.2079,-6.0972,4.1108,-0.554,xtb_success
NC(=O)Cc1ccnc(-c2cc(-c3cc(C=O)ccn3)ccn2)c1,-10.0875,-8.6349,1.4526,-0.528,xtb_success
C[C@H]1CCCCN1C(=O)c1cnc(OCc2ccnn2C)c(Cl)c1,-10.6554,-7.4046,3.2508,-0.535,xtb_success
COCc1ccc(Cc2ccc(OC)cc2)c(-c2cc(OC)ccn2)c1,-10.0733,-6.6141,3.4592,-0.349,xtb_success
COc1ccc(C(=O)SCC(=O)Nc2csc(C)n2)cc1,-10.5178,-8.0194,2.4983,-0.495,xtb_success
COCCC(=O)N1CCN(C(=O)C2CCN(c3nc(C4CCCCC4)cs3)CC2)CC1,-9.5339,-6.1656,3.3683,-0.532,xtb_success
Cc1cccc(Cc2ccc(C[C@@H]3CCN(C)C3=O)cc2F)c1,-10.5221,-6.3726,4.1495,-0.542,xtb_success
NC(=O)CCc1ccc(CCc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,-10.2817,-6.1433,4.1384,-0.534,xtb_success
NC(=O)Cc1cc(-c2ccc(C=O)cc2)ccc1-c1ccc(C=O)c(C=O)c1,-10.6725,-8.7355,1.9369,-0.525,xtb_success
NC(=O)Cc1ccnc(-c2ccc(Cc3ccccn3)c(C=O)c2)c1,-10.1534,-8.074,2.0794,-0.527,xtb_success
CC(C)(C)c1ccc(Cc2cc(-c3nc(CC[NH3+])cs3)ccn2)cc1,-7.1576,-5.7231,1.4345,-0.35,xtb_success
NC(=O)Cc1ccnc(Cc2ccc(-c3ccnc(C=O)c3)cc2)c1,-10.1079,-8.4516,1.6563,-0.529,xtb_success
NC(=O)Cc1csc(-c2ccc(Cc3ccc(C=O)cc3)cc2)n1,-10.4035,-8.049,2.3545,-0.535,xtb_success
COc1cc(Cc2ccccn2)ccc1Cc1ccc(OC)c(OC)c1,-9.8659,-6.7331,3.1328,-0.304,xtb_success
CCc1ccc(Cc2ccc(-c3nc(C(=O)[O-])cs3)o2)cc1,-10.7592,-8.3598,2.3993,-0.545,xtb_success
CCN(Cc1ccccc1)c1ncccc1-c1ccc(CC[NH3+])cc1,-6.0252,-5.8686,0.1566,-0.356,xtb_success
COc1ccc(Cc2ccnc(Cc3ccc(OC)c(OC)c3)c2)c(OC)c1,-9.8774,-6.5829,3.2945,-0.301,xtb_success
C[C@H](CCC[NH3+])c1csc(Cc2ccc(C(C)(C)C)cc2)n1,-6.9224,-5.6378,1.2846,-0.359,xtb_success
NC(=O)Cc1ccnc(-c2ccnc(-c3cc(C=O)ccn3)c2)c1,-10.143,-8.5653,1.5777,-0.528,xtb_success
CC[C@H](Cc1ccc2c(c1)OCO2)C(=O)Nc1ccc(N2CC[C@H](O)C2)cc1,-9.2034,-6.2906,2.9128,-0.515,xtb_success
CCCc1ccc(C(=O)Cc2cc([C@H]3CCN(C)C3=O)ccn2)cc1F,-10.346,-8.0132,2.3328,-0.54,xtb_success
CCCOc1ccc(C(=O)Nc2ccc[nH]2)cc1-c1nccn1C,-9.6906,-7.3367,2.3539,-0.523,xtb_success
COc1ccc(CCC(=O)c2ccccn2)cc1N1CCS(=O)(=O)CC1,-9.8471,-8.0733,1.7738,-0.644,xtb_success
COCCc1ccccc1Cc1ccccc1CC(=O)C(C)(C)OC,-10.2725,-7.0247,3.2478,-0.416,xtb_success
CC(C)(C)c1ccc(Cc2cc(-c3nc(CC(N)=O)cs3)ccn2)cc1,-10.1721,-7.9964,2.1757,-0.531,xtb_success
COc1cc(C=O)cc(Cc2cc(CCC3(O)CCCCC3)ccn2)c1,-10.0278,-8.074,1.9538,-0.515,xtb_success
Cc1cccc(-c2cc(/C=C\c3ccnn3C)cc(CC(N)=O)c2O)c1,-9.9579,-6.9857,2.9722,-0.54,xtb_success
Cn1nccc1-c1cc(Cc2ccc(COCC(N)=O)cc2F)ccn1,-10.1404,-7.1551,2.9853,-0.534,xtb_success
COc1ccc(CN(C)CCn2nc(OC)cc2OC)cc1,-9.6092,-6.0039,3.6053,-0.325,xtb_success
NC(=O)Cc1ccc(Cc2ccnc(-c3ccccn3)c2)cc1,-9.9453,-7.4324,2.5129,-0.533,xtb_success
Cc1ccc(CN(Cc2ccc(C)cc2)CC(C)(C)O)cc1,-9.5913,-5.9541,3.6372,-0.495,xtb_success
CCO[C@H](c1cccc(F)c1)c1cc2cc(C)c(C)cc2[nH]c1=O,-10.386,-7.5226,2.8634,-0.561,xtb_success
Cc1ccc2cc(CCCCCCc3ccnn3C)c(=O)[nH]c2c1C,-10.3006,-7.3023,2.9983,-0.56,xtb_success
Cn1nccc1-c1cc(COCc2ccc(OCC(N)=O)cc2F)ccn1,-10.1781,-7.16,3.0181,-0.53,xtb_success
c1ccc(CCCCCc2cc(Cc3ccccn3)ccn2)nc1,-9.8973,-6.8558,3.0414,-0.269,xtb_success
