restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status,gap_score,esp_score,R_DFT,R0,R_total,rank_R0,rank_total,delta_rank,dft_effect,MW,LogP,HBD,HBA,RotBonds,TPSA,QED,Lipinski_Pass,Violations,hERG_Prob,hERG_Risk,R_ADMET,R_global,Active_Set
83,87,NC(=O)Cc1ccc(-c2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,7.592200000000004,0.7198180512365173,1.6156016992376117,344.414,3.076200000000001,0.0,8.790548855694503,-10.179,-6.9135,3.2655,-0.533,xtb_success,0.6865602584822832,0.7783333333333333,0.7140921809375982,8.790548855694503,9.076185728069545,6,12,6,neutral,344.41,3.08,2,2,6,86.18,0.72,True,0,0.18,False,0.928,10.932,True
63,9,COCc1ccc(COC)c(-c2cccc(COC)c2OC)c1,7.586000000000008,0.7420880017932135,2.257263796642473,316.39700000000005,3.8014000000000014,0.0,8.728724666960787,-10.4102,-6.4831,3.9271,-0.349,xtb_success,0.8659836060561378,0.8724999999999999,0.8679385242392963,8.728724666960787,9.075900076656506,62,13,-49,physically_promoted,316.4,3.8,0,4,8,36.92,0.742,True,0,0.6482484230955847,True,0.741,10.557,False
23,6,COc1ccc(CN(CC(F)(F)F)c2cccc(OC)c2O)cc1OC,7.57150000000001,0.7977296668369451,2.339650291197138,371.3550000000001,3.986900000000004,0.0,8.736399804298769,-9.726,-5.998,3.728,-0.448,xtb_success,0.8168923135253332,0.9200000000000002,0.8478246194677332,8.736399804298769,9.075529652085862,44,14,-30,physically_promoted,371.36,3.99,1,5,7,51.16,0.798,True,0,0.8010368956743003,True,0.68,10.435,False
49,11,CC(C)(C)c1ccc(Cc2cc(CCCC(N)=O)ccn2)cc1,7.567900000000009,0.8824987477291736,2.124930878743063,310.4409999999999,3.7779000000000016,0.0,8.77854736311954,-9.984,-6.6073,3.3767,-0.529,xtb_success,0.7193639492302826,0.785,0.7390547644611978,8.77854736311954,9.07416926890402,11,15,4,neutral,310.44,3.78,1,2,6,55.98,0.882,True,0,0.5633333333333334,True,0.775,10.624,False
60,2,COc1cccc(CN2CCN(C(=O)c3c(C)n[nH]c3C3CCCCC3)CC2)c1,7.588100000000008,0.8364909075203448,2.351767668773972,396.53500000000025,3.732420000000003,0.0,8.771168686882785,-9.5414,-6.0241,3.5174,-0.554,xtb_success,0.7597522809136559,0.7433333333333333,0.7548265966395591,8.771168686882785,9.073099325538609,12,16,4,neutral,396.54,3.73,1,4,5,61.46,0.836,True,0,0.8033333333333333,True,0.679,10.43,False
83,11,NC(=O)Cc1csc(CCc2ccc(CC3CCCCC3)cc2)n1,7.596200000000006,0.8240962002712514,2.2242459908032064,342.5080000000001,4.078900000000004,0.0,8.785823501055312,-10.4019,-7.1094,3.2925,-0.537,xtb_success,0.6945823625393659,0.7716666666666666,0.7177076537775561,8.785823501055312,9.072906562566336,9,17,8,neutral,342.51,4.08,1,3,7,55.98,0.824,True,0,0.5580126617120836,True,0.777,10.626,False
83,9,NC(=O)CN(CCc1ccc(CC2CCCCC2)cc1)C1CCCCC1,7.599800000000009,0.7467013261466664,2.214373416589167,356.55400000000014,4.471900000000004,0.0,8.751713321414424,-9.6026,-5.8964,3.7061,-0.541,xtb_success,0.811174443461584,0.765,0.7973221104231087,8.751713321414424,9.070642165583669,27,18,-9,physically_promoted,356.55,4.47,1,2,8,46.33,0.747,True,0,0.621345995045417,True,0.751,10.574,False
49,10,CC(C)(C)c1ccc(CCc2nc(CCC(N)=O)cs2)cc1,7.543300000000006,0.8842216082509399,2.216883004097223,316.4699999999999,3.6437000000000017,0.0,8.76123342661813,-10.3969,-6.841,3.5559,-0.537,xtb_success,0.7705289119923288,0.7716666666666666,0.77087023839463,8.76123342661813,9.069581521975982,22,19,-3,neutral,316.47,3.64,1,3,6,55.98,0.884,True,0,0.48,False,0.808,10.686,True
83,3,CN(C(=O)NCC1CCN(C2CCCCC2)CC1)c1ccccc1,7.576800000000012,0.9097906940599232,2.1791114853087006,329.48799999999994,3.877100000000002,0.0,8.813784198499103,-9.2901,-6.3172,2.9729,-0.572,xtb_success,0.5983126705343828,0.7133333333333335,0.632818869374068,8.813784198499103,9.066911746248731,3,20,17,neutral,329.49,3.88,1,2,4,35.58,0.91,True,0,0.8070047707944409,True,0.677,10.421,False
98,12,COCc1ccc(Cc2ccc(Cc3cc(OC)ccn3)cc2)cc1,7.613600000000011,0.6413053438422793,1.9602990760080448,333.431,4.418200000000003,0.0,8.738222764320346,-10.0806,-6.4429,3.6377,-0.351,xtb_success,0.7929598721204725,0.8775,0.8183219104843307,8.738222764320346,9.065551528514078,41,21,-20,physically_promoted,333.43,4.42,0,3,7,31.35,0.641,True,0,0.5364968461911693,True,0.785,10.636,False
84,4,COCc1ccc(CCN2CCN(C(=O)C3(OC)CCCCC3)CC2)cc1,7.635600000000008,0.7359856256424561,2.3987460801812155,374.52500000000026,2.8690000000000007,0.0,8.763718204803114,-9.4291,-5.989,3.4401,-0.533,xtb_success,0.7377420794914477,0.7783333333333333,0.7499194556440134,8.763718204803114,9.06368598706072,20,22,2,neutral,374.53,2.87,0,4,7,42.01,0.736,True,0,0.77,True,0.692,10.448,False
83,19,NC(=O)CCc1ccc(Cc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,7.604300000000006,0.5910238398575833,1.882281841054727,386.4950000000001,3.313900000000001,0.0,8.711583735823325,-10.3051,-6.1593,4.1458,-0.535,xtb_success,0.9128285486628364,0.775,0.8714799840639853,8.711583735823325,9.060175729448918,101,23,-78,physically_promoted,386.5,3.31,2,2,9,86.18,0.591,True,0,0.24666666666666667,False,0.901,10.863,True
69,2,COc1cccc(NC(=O)N2C[C@H](OC3CCCCC3)O[C@@H](C)C2)c1,7.58640000000001,0.902663676442592,3.071436435019252,348.4430000000001,3.6232000000000015,0.0,8.730588194719381,-10.0666,-6.211,3.8556,-0.547,xtb_success,0.8489912321427748,0.755,0.8207938624999422,8.730588194719381,9.058905739719355,55,24,-31,physically_promoted,348.44,3.62,1,4,4,60.03,0.903,True,0,0.7,True,0.72,10.499,False
83,28,NC(=O)Cc1ccc(Cc2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,7.582700000000009,0.680119200920715,1.7610708889472235,358.44100000000003,3.000000000000001,0.0,8.746652511565642,-10.2365,-6.6417,3.5949,-0.534,xtb_success,0.7813061166102528,0.7766666666666666,0.7799142816271769,8.746652511565642,9.058618224216511,33,25,-8,physically_promoted,358.44,3.0,2,2,7,86.18,0.68,True,0,0.19333333333333333,False,0.923,10.904,True
84,2,COCc1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1,7.548300000000011,0.8681648101470093,1.812635754604143,311.38500000000005,2.1904000000000003,0.0,8.78638480843557,-9.7007,-6.5897,3.111,-0.542,xtb_success,0.6401580852031392,0.7633333333333333,0.6771106596421974,8.78638480843557,9.057229072292447,8,26,18,neutral,311.39,2.19,0,4,4,45.67,0.868,True,0,0.73,True,0.708,10.473,False
6,7,CCCc1ccc(-c2ccc(CC(N)=O)cc2CC(N)=O)cc1,7.538300000000006,0.8222211693311551,2.0757121287430635,310.397,2.3617,0.0,8.723564890907564,-10.3175,-6.4575,3.8601,-0.534,xtb_success,0.8500828180449517,0.7766666666666666,0.8280579726314661,8.723564890907564,9.05478807996015,73,27,-46,physically_promoted,310.4,2.36,2,2,7,86.18,0.822,True,0,0.43666666666666665,False,0.825,10.705,True
93,8,COCc1ccc(Cc2ccc(C(=O)N3CCN(C(=O)c4ccccc4C)CC3)cc2)cc1,7.631900000000006,0.5709923512785856,1.9879531101754484,442.5590000000002,4.330420000000004,0.0,8.718600864621754,-10.5749,-6.6625,3.9124,-0.535,xtb_success,0.8625525365410728,0.775,0.8362867755787509,8.718600864621754,9.053115574853257,85,28,-57,physically_promoted,442.56,4.33,0,3,6,49.85,0.571,True,0,0.7466666666666667,True,0.701,10.456,False
83,25,NC(=O)Cc1ccc(CCCc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,7.617400000000006,0.5455922130581462,1.8742474596458845,400.5220000000001,3.508300000000002,0.0,8.70277136056449,-10.3085,-6.1429,4.1656,-0.535,xtb_success,0.916651502365926,0.775,0.8741560516561482,8.70277136056449,9.05243378122695,113,29,-84,physically_promoted,400.52,3.51,2,2,10,86.18,0.546,True,0,0.36,False,0.856,10.764,True
41,2,COc1ccc(CC2CCN(C(=O)c3c(NC(C)=O)sc4c3CCC4)CC2)cc1,7.617300000000008,0.7966027597978272,2.257344624950326,412.5550000000003,4.298700000000004,0.0,8.789866917403888,-10.0514,-7.0104,3.041,-0.557,xtb_success,0.6189627876417684,0.7383333333333333,0.6547739513492379,8.789866917403888,9.051776497943584,7,30,23,neutral,412.56,4.3,1,4,5,58.64,0.797,True,0,0.6985843137254901,True,0.721,10.493,False
73,8,CC(C)(C)c1ccc(CCCc2cc(CCCC(N)=O)ccn2)cc1,7.585500000000009,0.7771452600368048,2.168340247165654,338.49499999999995,4.362400000000003,0.0,8.757238605301847,-9.933,-6.5721,3.3609,-0.53,xtb_success,0.7147438149588755,0.7833333333333333,0.7353206704712129,8.757238605301847,9.051366873490332,25,31,6,neutral,338.49,4.36,1,2,8,55.98,0.777,True,0,0.6166666666666667,True,0.753,10.558,False
63,11,COCc1cccc(Cc2cccc(OC)c2COC)c1OC,7.549800000000006,0.7456607805751801,2.2916022581809354,316.39700000000005,3.5874000000000024,0.0,8.690877210197922,-10.2888,-6.2366,4.0523,-0.35,xtb_success,0.8938056588737778,0.8749999999999999,0.8881639612116444,8.690877210197922,9.04614279468258,147,32,-115,physically_promoted,316.4,3.59,0,4,8,36.92,0.746,True,0,0.5826186521032183,True,0.767,10.58,False
93,14,COCCc1ccccc1CN1CCN(C(=O)C(C)(C)OC)CC1,7.581100000000007,0.7642293515008574,2.284076432003795,334.4600000000001,1.9447,0.0,8.734807032550055,-9.5928,-6.0339,3.5589,-0.539,xtb_success,0.7713630369080151,0.7683333333333333,0.7704541258356106,8.734807032550055,9.0429886828843,47,33,-14,physically_promoted,334.46,1.94,0,4,7,42.01,0.764,True,0,0.7366666666666667,True,0.705,10.454,False
23,5,COc1ccc(CN(CCc2nccn2C)CC(F)(F)F)cc1,7.541400000000007,0.7829741873705385,2.340705878743064,327.35,3.035700000000001,0.0,8.69881650581097,-10.0043,-6.0984,3.906,-0.337,xtb_success,0.8610484537546877,0.8425,0.8554839176282814,8.69881650581097,9.041010072862283,122,34,-88,physically_promoted,327.35,3.04,0,4,7,30.29,0.783,True,0,0.79,True,0.684,10.409,False
83,26,NC(=O)CCc1ccc(Cc2ccc(CCc3ccc(CC(N)=O)cc3)cc2)cc1,7.611500000000006,0.5455922130581462,1.906694736693576,400.5220000000001,3.508300000000002,0.0,8.693626632859722,-10.2927,-6.1759,4.1169,-0.534,xtb_success,0.907117579869254,0.7766666666666666,0.8679823059084777,8.693626632859722,9.040819555223113,136,35,-101,physically_promoted,400.52,3.51,2,2,10,86.18,0.546,True,0,0.24666666666666667,False,0.901,10.843,True
62,10,COCCN(COC)Cc1ccc(Cc2ccc(COC)cc2)cc1,7.639500000000011,0.5846591952293336,2.173751236176642,343.4670000000001,3.4761000000000024,0.0,8.714454473997012,-9.7468,-6.1389,3.6078,-0.352,xtb_success,0.7848382722788563,0.8799999999999999,0.8133867905951992,8.714454473997012,9.039809190235092,94,36,-58,physically_promoted,343.47,3.48,0,4,11,30.93,0.585,True,0,0.6433333333333333,True,0.743,10.525,False
23,10,CCCc1c(Cc2ccc(OC)c(OC)c2)cccc1OC,7.5728000000000115,0.7645808105128725,1.8709908509832829,300.398,4.255700000000004,0.0,8.6940222153078,-10.1347,-6.1983,3.9364,-0.342,xtb_success,0.8681371064986224,0.855,0.8641959745490357,8.6940222153078,9.039700605127416,134,37,-97,physically_promoted,300.4,4.26,0,3,7,27.69,0.765,True,0,0.7359519854365516,True,0.706,10.451,False
23,16,COCc1ccc(Cc2cccc(OC)c2OC)cc1OC,7.552500000000008,0.7847780421267898,1.9624938286507767,302.37000000000006,3.449600000000003,0.0,8.688368979466846,-10.1068,-6.097,4.0098,-0.345,xtb_success,0.8846510504544914,0.8624999999999999,0.8780057353181439,8.688368979466846,9.039571273594104,155,38,-117,physically_promoted,302.37,3.45,0,4,7,36.92,0.785,True,0,0.7192853187698849,True,0.712,10.464,False
6,24,NC(=O)Cc1ccc(-c2ccc(CC(N)=O)cc2CC(N)=O)cc1,7.568600000000006,0.6824569725376011,2.187976859934075,325.368,0.4369999999999997,0.0,8.6910308002754,-10.3496,-6.2187,4.1309,-0.535,xtb_success,0.9099033888101112,0.775,0.8694323721670778,8.6910308002754,9.03880374914223,146,39,-107,physically_promoted,325.37,0.44,3,3,7,129.27,0.682,True,0,0.31,False,0.876,10.791,True
99,4,CCN(CCc1ccccc1)S(=O)(=O)Cc1ccc(F)cc1,7.53050000000001,0.7850503304346537,1.912265788948544,321.417,3.220100000000002,0.0,8.731798586322483,-10.5585,-6.7499,3.8086,-0.645,xtb_success,0.8374202489093391,0.5916666666666667,0.7636941742365373,8.731798586322483,9.037276256017098,54,40,-14,physically_promoted,321.42,3.22,0,2,7,37.38,0.785,True,0,0.7710368956743002,True,0.692,10.42,False
42,7,Cn1nccc1COc1c(Cl)cc(CC(N)=O)cc1Cl,7.505300000000004,0.920619100435908,2.469743207978849,314.172,2.3337000000000003,0.0,8.711865133680258,-10.7236,-6.9807,3.7429,-0.522,xtb_success,0.8207493198861513,0.7966666666666666,0.8135245239203058,8.711865133680258,9.03727494324838,100,41,-59,physically_promoted,314.17,2.33,1,4,5,70.14,0.921,True,0,0.5566666666666666,True,0.777,10.592,False
97,12,COCc1ccc(Cc2ccc(OC)c(OC)c2)c(OC)c1,7.552900000000009,0.7847780421267898,1.824197550735143,302.37000000000006,3.449600000000002,0.0,8.70259860725841,-9.8694,-6.1315,3.7379,-0.349,xtb_success,0.8194580668876703,0.8724999999999999,0.8353706468213691,8.70259860725841,9.036746865986958,115,42,-73,physically_promoted,302.37,3.45,0,4,7,36.92,0.785,True,0,0.7082484230955847,True,0.717,10.47,False
43,2,COCc1ccc(OC)c(C(=O)N2CCN(c3ccccc3)CC2)c1,7.5338000000000065,0.8393225038231562,1.8332012361766417,340.42300000000006,2.804000000000001,0.0,8.770141128293922,-9.4403,-6.4112,3.0291,-0.537,xtb_success,0.615355055806391,0.7716666666666666,0.6622485390644737,8.770141128293922,9.035040543919711,15,43,28,neutral,340.42,2.8,0,4,5,42.01,0.839,True,0,0.7731106870229008,True,0.691,10.417,False
93,21,COCCCc1ccccc1Cc1ccccc1C(=O)N(C)C,7.541300000000006,0.731805225670205,2.0185518439797505,311.42500000000007,3.558200000000002,0.0,8.690748910353987,-10.5449,-6.4567,4.0881,-0.546,xtb_success,0.9012746847941426,0.7566666666666666,0.8578922793558997,8.690748910353987,9.033905822096347,148,44,-104,physically_promoted,311.43,3.56,0,2,7,29.54,0.732,True,0,0.7133333333333334,True,0.715,10.463,False
97,3,COCc1ccc(Cc2ccccn2)cc1C(=O)N1CCCCC1,7.537200000000009,0.8458701984966871,2.1256475292647448,324.4240000000002,3.4449000000000023,0.0,8.74757034632188,-10.059,-6.7418,3.3172,-0.552,xtb_success,0.7018911247031129,0.7466666666666666,0.7153237872921789,8.74757034632188,9.03369986123875,32,45,13,neutral,324.42,3.44,0,3,5,42.43,0.846,True,0,0.7210368956743003,True,0.712,10.457,False
83,18,NC(=O)CCc1ccc(CCc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,7.602200000000005,0.5455922130581462,1.906694736693576,400.5220000000001,3.508300000000002,0.0,8.68432663285972,-10.2817,-6.1433,4.1384,-0.534,xtb_success,0.9113809338502874,0.7766666666666666,0.8709666536952011,8.68432663285972,9.0327132943378,171,46,-125,physically_promoted,400.52,3.51,2,2,10,86.18,0.546,True,0,0.24666666666666667,False,0.901,10.835,True
61,20,Cc1cccc(Cc2ccc(C[C@@H]3CCN(C)C3=O)cc2F)c1,7.547700000000005,0.8419975897111515,2.692506985905027,311.4,3.745720000000003,0.0,8.684764960462998,-10.5221,-6.3726,4.1495,-0.542,xtb_success,0.913548528157451,0.7633333333333333,0.8684839697102157,8.684764960462998,9.032158548347084,170,47,-123,physically_promoted,311.4,3.75,0,1,4,20.31,0.842,True,0,0.7782484230955847,True,0.689,10.41,False
95,12,COCc1ccc(Cc2ccc(CCC(=O)C(C)(C)OC)cc2)cc1,7.608800000000009,0.6806229775078732,2.189166840572246,340.463,4.350500000000004,0.0,8.730194804696723,-10.372,-7.2105,3.1615,-0.412,xtb_success,0.6553995159659277,0.9800000000000002,0.7527796611761495,8.730194804696723,9.031306669167185,56,48,-8,physically_promoted,340.46,4.35,0,3,9,35.53,0.681,True,0,0.46,False,0.816,10.663,True
84,3,COCc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,7.553800000000012,0.8703710270441913,1.6438015410564972,310.39700000000005,2.7954000000000008,0.0,8.806330878532746,-9.2905,-6.737,2.5535,-0.542,xtb_success,0.4732316418729899,0.7633333333333333,0.5602621493110929,8.806330878532746,9.030435738257184,4,49,45,neutral,310.4,2.8,0,3,4,32.78,0.87,True,0,0.7810368956743002,True,0.688,10.406,False
10,4,CC(=O)N1CC[C@H](C(=O)NCc2ccc(OC(C)C)cc2)C1,7.514300000000007,0.9044162929947808,2.3246476134781204,304.39000000000004,1.9584,0.0,8.68647742869546,-10.2079,-6.0972,4.1108,-0.554,xtb_success,0.9058925483752636,0.7433333333333333,0.8571247838626844,8.68647742869546,9.029327342240531,164,50,-114,physically_promoted,304.39,1.96,1,3,5,58.64,0.904,True,0,0.78,True,0.688,10.405,False
50,6,CCc1ccc([C@@H]2CCS(=O)(=O)C2)cc1-c1ccc(F)c(F)c1,7.580700000000008,0.8456626066774071,2.817396930431654,336.403,4.096300000000004,0.0,8.721791610295547,-10.727,-6.9274,3.7996,-0.646,xtb_success,0.835169968296208,0.59,0.7616189778073457,8.721791610295547,9.026439201418484,76,51,-25,physically_promoted,336.4,4.1,0,2,3,34.14,0.846,True,0,0.5834994034877415,True,0.767,10.56,False
89,3,CCN(C1CCOCC1)C1CN(CCc2ccccc2Cl)C1,7.572800000000009,0.8002805417200606,2.485734346197747,322.88,3.067600000000001,0.0,8.724366836240264,-9.5481,-6.236,3.3122,-0.351,xtb_success,0.7004140596698497,0.8775,0.7535398417688948,8.724366836240264,9.025782772947824,71,52,-19,physically_promoted,322.88,3.07,0,3,6,15.71,0.8,True,0,0.794383331368477,True,0.682,10.39,False
39,11,CCCc1ccc(-c2ccc(CC[C@](C)(O)C(=O)[O-])cc2)cc1,7.582900000000002,0.8550506790922255,2.748386834277808,311.40099999999995,2.7396000000000003,0.0,8.720906909615032,-9.6603,-6.5053,3.155,-0.415,xtb_success,0.653440939938759,0.975,0.7499086579571312,8.720906909615032,9.020870372797884,80,53,-27,physically_promoted,311.4,2.74,1,3,7,60.36,0.855,True,0,0.44,False,0.824,10.669,True
43,6,CCN(Cc1ccc(-c2ccccn2)cc1)C(=O)C(C)(C)OC,7.589600000000011,0.8193438369774834,2.233056359512295,312.41300000000007,3.522100000000002,0.0,8.764519784147225,-9.9847,-7.0941,2.8905,-0.533,xtb_success,0.5733558179540577,0.7783333333333333,0.6348490725678404,8.764519784147225,9.018459413174362,19,54,35,neutral,312.41,3.52,0,3,6,42.43,0.819,True,0,0.6666666666666666,True,0.733,10.485,False
86,2,COc1ccc(CNC(=O)[C@H]2CCCN(C(=O)N3CCN(C(=O)c4ccccc4C)CC3)C2)cc1,7.595400000000004,0.7165682655727883,2.6135217490933016,478.5930000000003,2.9098200000000007,0.0,8.692331957877068,-10.1398,-6.2227,3.9171,-0.58,xtb_success,0.8636531381581608,0.7000000000000001,0.8145571967107126,8.692331957877068,9.018154836561353,139,55,-84,physically_promoted,478.59,2.91,1,4,5,82.19,0.717,True,0,0.7436714374611076,True,0.703,10.423,False
73,18,NC(=O)CCCc1ccc(Cc2cc(CC(N)=O)ccn2)cc1,7.574000000000004,0.7725631584256973,2.1578611930921774,311.38499999999993,1.508199999999999,0.0,8.7297614387261,-10.055,-6.7592,3.2958,-0.534,xtb_success,0.6955605546872502,0.7766666666666666,0.719892388281075,8.7297614387261,9.01771839403853,58,56,-2,neutral,311.38,1.51,2,3,8,99.07,0.773,True,0,0.46,False,0.816,10.65,True
60,3,COc1cccc(Cc2ccc(CC(=O)C(C)(C)N3CCOCC3)cc2)c1,7.616900000000006,0.7506997194137011,2.3158374503495107,367.48900000000015,3.508400000000002,0.0,8.760666114671906,-9.7642,-7.132,2.6322,-0.418,xtb_success,0.4961834285485876,0.9700000000000002,0.6383283999840114,8.760666114671906,9.015997474665513,23,57,34,neutral,367.49,3.51,0,4,7,38.77,0.751,True,0,0.7233333333333334,True,0.711,10.437,False
17,10,NC(=O)CCc1ccc(-c2ccc(Cc3cc(CC(N)=O)ccn3)cc2)cc1,7.626300000000008,0.6349259130142562,2.1490646600472783,373.456,2.785100000000001,0.0,8.728856490502409,-10.0325,-6.767,3.2655,-0.532,xtb_success,0.6865602584822832,0.78,0.7145921809375981,8.728856490502409,9.014693362877448,61,58,-3,neutral,373.46,2.79,2,3,8,99.07,0.635,True,0,0.3333333333333333,False,0.867,10.748,True
83,15,NC(=O)CCc1ccc(-c2ccc(CC(N)=O)cc2)cc1CC(N)=O,7.594800000000004,0.6582124336880412,2.2127937110930294,339.3950000000001,0.8270999999999997,0.0,8.70262684573472,-10.2622,-6.6413,3.6209,-0.551,xtb_success,0.788407964814628,0.7483333333333333,0.7763855753702396,8.70262684573472,9.013181075882816,114,59,-55,physically_promoted,339.4,0.83,3,3,8,129.27,0.658,True,0,0.3233333333333333,False,0.871,10.755,True
73,5,Cc1ccc(N(CCC(C)(C)C)Cc2ccc(CC(N)=O)cc2)cc1,7.561800000000008,0.8096435493774401,2.150295383333832,338.49500000000006,4.465620000000003,0.0,8.751592236355345,-9.1636,-6.2032,2.9604,-0.533,xtb_success,0.5945229141666839,0.7783333333333333,0.6496660399166787,8.751592236355345,9.011458652322016,28,60,32,neutral,338.5,4.47,1,2,7,46.33,0.81,True,0,0.5033333333333333,True,0.799,10.609,False
