name,smiles,Broad_Spectrum_Score,Broad_Rank,Broad_Rank_Pct,E_SARS_CoV_2,E_SARS_CoV_1,E_MERS_CoV,pIC50,Reward,R_total,R_ADMET,R_global
mol_26,O=C(c1ccc([C@@H]2CCS(=O)(=O)C2)cc1)c1ccc(F)c(F)c1,-7.3,11.0,0.3055555555555556,-7.3,-7.9,-7.7,7.556200000000008,8.698493507747713,8.92047913117165,0.819,10.559
mol_21,COc1cc(C(=O)N(CC(N)=O)c2ccc(F)c(F)c2)ccn1,-6.6,28.0,0.7777777777777778,-6.9,-6.6,-7.9,7.516600000000008,8.733742979355952,8.9876778760308,0.808,10.604
mol_25,Cc1nonc1S(=O)(=O)c1ccc(C(=O)N2CCCCCCC2)cc1,-7.2,12.0,0.3333333333333333,-7.8,-7.5,-7.2,7.578300000000006,8.759679607280495,8.929626495610233,0.823,10.577
mol_8,NC(=O)CCc1ccc(Cc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,-7.4,8.0,0.2222222222222222,-7.4,-7.4,-7.6,7.604300000000006,8.711583735823325,9.060175729448918,0.901,10.863
mol_22,Cc1ccc(/C=C\c2ccc(/C=C\c3c[nH]c(=O)[nH]c3=O)cc2)cc1F,-7.6,3.0,0.08333333333333333,-8.2,-7.6,-7.6,7.58780000000001,8.691304336954506,8.918648546132308,0.839,10.597
mol_2,NC(=O)CCc1ccc(CCc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,-7.4,8.0,0.2222222222222222,-7.6,-8.2,-7.4,7.602200000000005,8.68432663285972,9.0327132943378,0.901,10.835
mol_30,COc1ccc(C(=O)SCC(=O)Nc2csc(C)n2)cc1,-6.1,36.0,1.0,-6.1,-6.5,-6.7,7.461000000000004,8.685422236372803,8.914479398316582,0.803,10.52
mol_27,CC(C)(C)CCc1cc([C@@H](N)Cc2cccnc2Cl)ccn1,-6.3,34.0,0.9444444444444444,-6.5,-6.3,-6.7,7.566400000000007,8.674361783162349,8.933381680323388,0.804,10.542
mol_32,Cc1ccc(/C=C\c2nccnc2CS(=O)(=O)C(C)C)cc1C,-6.5,30.0,0.8333333333333334,-6.5,-6.7,-7.2,7.526100000000005,8.675502170520783,8.854312597732717,0.815,10.485
mol_4,NC(=O)Cc1ccc(CCCc2ccc(Cc3ccc(CC(N)=O)cc3)cc2)cc1,-6.9,22.0,0.6111111111111112,-7.8,-7.9,-6.9,7.617400000000006,8.70277136056449,9.05243378122695,0.856,10.764
mol_28,NC(=O)Cc1ccnc(-c2ccc(Cc3ccccn3)c(C=O)c2)c1,-7.5,6.0,0.16666666666666666,-7.5,-7.7,-7.5,7.579900000000004,8.684227286587504,8.875231659058349,0.813,10.502
mol_29,NC(=O)Cc1cc(Cc2cc(C=O)ccn2)ccc1-c1ccccn1,-7.2,12.0,0.3333333333333333,-7.6,-7.2,-8.1,7.597300000000003,8.698128055818273,8.869956893146464,0.811,10.491
mol_23,NC(=O)CCCc1ccc(CCCc2ccc(C=O)cc2)cc1,-6.5,30.0,0.8333333333333334,-6.5,-6.8,-6.5,7.582500000000007,8.729265998112902,8.943427168685181,0.823,10.589
mol_31,NC(=O)CCc1ccc(Cc2ccc(CCC(N)=O)cc2)cc1,-6.8,23.0,0.6388888888888888,-7.0,-7.4,-6.8,7.5484000000000036,8.743794874322443,9.099674573467125,0.893,10.886
mol_35,CCCc1ccc(-c2ccc(CC(N)=O)cc2CC(N)=O)cc1,-7.0,20.0,0.5555555555555556,-7.2,-7.0,-7.7,7.538300000000006,8.723564890907564,9.05478807996015,0.825,10.705
mol_24,COCc1ccc(-c2cc(CCc3ccc(CC(N)=O)o3)ccn2)cc1,-7.0,20.0,0.5555555555555556,-7.5,-7.6,-7.0,7.590300000000004,8.688491409250584,8.948183340274108,0.816,10.58
mol_34,NC(=O)Cc1ccc(CCCCc2ccc(CC(N)=O)cc2)cc1,-6.3,34.0,0.9444444444444444,-6.6,-6.8,-6.3,7.578100000000006,8.745391468957767,9.102765001249317,0.861,10.825
mol_33,NC(=O)CCc1ccc(Cc2ccc(CCc3ccc(CC(N)=O)cc3)cc2)cc1,-7.2,12.0,0.3333333333333333,-7.9,-8.0,-7.2,7.611500000000006,8.693626632859722,9.040819555223113,0.901,10.843
