序号,姓名,基金公司,状态,擅长领域,风格标签,风格码,任职回报,添加日期,最后刷新
39,李彦,华夏基金,active,,,,77.49%,2026-07-29,2026-07-29 16:50
40,张军,摩根基金(中国),active,,,,119.67%,2026-07-29,2026-07-29 16:50
41,张金涛,嘉实基金,active,,,,151.01%,2026-07-29,2026-07-29 16:50
42,柳军,华泰柏瑞基金,active,,,,361.95%,2026-07-29,2026-07-29 16:50
43,曹璐迪,富国基金,active,,,,176.17%,2026-07-29,2026-07-29 16:50
44,许之彦,华安基金,active,,,,223.22%,2026-07-29,2026-07-29 16:50
45,张弘弢,富国基金,active,,,,75.97%,2026-07-29,2026-07-29 16:50
46,劳杰男,汇添富基金,active,,,,97.20%,2026-07-29,2026-07-29 16:50
47,胡剑,易方达基金,active,,,,196.78%,2026-07-29,2026-07-29 16:50
48,李瑞,东方基金,active,,,,80.71%,2026-07-29,2026-07-29 16:50
49,邢军亮,农银汇理基金,active,,,,108.75%,2026-07-29,2026-07-29 16:50
50,赵蓓,工银瑞信基金,active,,,,244.50%,2026-07-29,2026-07-29 16:50
51,韩创,大成基金,active,,,,444.72%,2026-07-29,2026-07-29 16:50
52,冯明远,信达澳亚基金,active,,,,539.94%,2026-07-29,2026-07-29 16:50
53,杨宗昌,易方达基金,active,,,,791.32%,2026-07-29,2026-07-29 16:50
54,范妍,富国基金,active,,,,32.27%,2026-07-29,2026-07-29 16:50
55,钟帅,华夏基金,active,,,,232.93%,2026-07-29,2026-07-29 16:50
56,杨金金,交银施罗德基金,active,,,,204.35%,2026-07-29,2026-07-29 16:50
57,万方方,华夏基金,active,,,,42.26%,2026-07-29,2026-07-29 16:50
58,邹立虎,景顺长城基金,active,,,,108.31%,2026-07-29,2026-07-29 16:50
